class_id,class_name,sample_index,split,image,label_line,orientation,anchor_visible,anchor_location,ocr_risk,notes
0,Pallet,1,train,1775040206432_6639_1025_48-012.jpg,3,,,,,
0,Pallet,2,train,1775040206432_6639_1025_48-012.jpg,7,,,,,
0,Pallet,3,train,1775040206432_6639_1025_48-012.jpg,9,,,,,
0,Pallet,4,train,1775040206432_6639_1025_48-012.jpg,13,,,,,
0,Pallet,5,train,1775040206432_6639_1087_48-008.jpg,1,,,,,
0,Pallet,6,train,1775040206432_6639_1087_48-008.jpg,6,,,,,
0,Pallet,7,train,1775040206432_6639_1087_48-008.jpg,7,,,,,
0,Pallet,8,train,1775040206432_6639_1087_48-008.jpg,9,,,,,
0,Pallet,9,train,1775040206432_6639_1087_48-008.jpg,11,,,,,
0,Pallet,10,train,1775040206432_6639_1087_48-008.jpg,13,,,,,
0,Pallet,11,train,1775040206432_6639_1124_48-006.jpg,2,,,,,
0,Pallet,12,train,1775040206432_6639_1124_48-006.jpg,7,,,,,
0,Pallet,13,train,1775040206432_6639_1124_48-006.jpg,8,,,,,
0,Pallet,14,train,1775040206432_6639_1124_48-006.jpg,10,,,,,
0,Pallet,15,train,1775040206432_6639_1124_48-006.jpg,12,,,,,
0,Pallet,16,train,1775040206432_6639_1187_48-002.jpg,3,,,,,
0,Pallet,17,train,1775040206432_6639_1187_48-002.jpg,7,,,,,
0,Pallet,18,train,1775040206432_6639_1187_48-002.jpg,9,,,,,
0,Pallet,19,train,1775040214757_1002_1069_61-002.jpg,2,,,,,
0,Pallet,20,train,1775040214757_1002_1069_61-002.jpg,4,,,,,
0,Pallet,21,train,1775040214757_1002_1069_61-002.jpg,6,,,,,
0,Pallet,22,train,1775040214757_1002_1069_61-002.jpg,14,,,,,
0,Pallet,23,train,1775040214757_1002_1069_61-002.jpg,15,,,,,
0,Pallet,24,train,1775040214757_1002_1069_61-002.jpg,17,,,,,
0,Pallet,25,train,1775040222857_1070_1012_43-002.jpg,1,,,,,
0,Pallet,26,train,1775040222857_1070_1012_43-002.jpg,6,,,,,
0,Pallet,27,train,1775040222857_1070_1012_43-002.jpg,7,,,,,
0,Pallet,28,train,1775040222857_1070_1106_43-006.jpg,1,,,,,
0,Pallet,29,train,1775040222857_1070_1106_43-006.jpg,4,,,,,
0,Pallet,30,train,1775040222857_1070_1106_43-006.jpg,7,,,,,
0,Pallet,31,train,1775040222857_1070_1111_43-005.jpg,1,,,,,
0,Pallet,32,train,1775040222857_1070_1111_43-005.jpg,5,,,,,
0,Pallet,33,train,1775040222857_1070_1147_43-008.jpg,8,,,,,
0,Pallet,34,train,1775040222857_1070_1147_43-008.jpg,9,,,,,
0,Pallet,35,train,1775040222857_1070_1147_43-008.jpg,10,,,,,
0,Pallet,36,train,1775040222857_1070_1147_43-008.jpg,13,,,,,
0,Pallet,37,train,1775040222857_1070_1150_43-007.jpg,4,,,,,
0,Pallet,38,train,1775040222857_1070_1150_43-007.jpg,5,,,,,
0,Pallet,39,train,1775040222857_1070_1187_43-009.jpg,4,,,,,
0,Pallet,40,train,1775040222857_1070_1187_43-009.jpg,5,,,,,
0,Pallet,41,train,1775040222857_1070_1215_43-011.jpg,1,,,,,
0,Pallet,42,train,1775040222857_1070_1215_43-011.jpg,5,,,,,
0,Pallet,43,train,1775040222857_1070_1218_43-012.jpg,0,,,,,
0,Pallet,44,train,1775040222857_1070_1218_43-012.jpg,4,,,,,
0,Pallet,45,train,1775040222857_1070_1218_43-012.jpg,6,,,,,
0,Pallet,46,train,1775040222857_1070_1254_43-014.jpg,1,,,,,
0,Pallet,47,train,1775040222857_1070_1254_43-014.jpg,3,,,,,
0,Pallet,48,train,1775040222857_1070_1254_43-014.jpg,6,,,,,
1,RDC,1,train,1775040206432_6639_1025_48-012.jpg,0,,,,,
1,RDC,2,train,1775040206432_6639_1025_48-012.jpg,1,,,,,
1,RDC,3,train,1775040206432_6639_1025_48-012.jpg,2,,,,,
1,RDC,4,train,1775040206432_6639_1025_48-012.jpg,4,,,,,
1,RDC,5,train,1775040206432_6639_1025_48-012.jpg,5,,,,,
1,RDC,6,train,1775040206432_6639_1025_48-012.jpg,6,,,,,
1,RDC,7,train,1775040206432_6639_1025_48-012.jpg,8,,,,,
1,RDC,8,train,1775040206432_6639_1025_48-012.jpg,10,,,,,
1,RDC,9,train,1775040206432_6639_1025_48-012.jpg,11,,,,,
1,RDC,10,train,1775040206432_6639_1025_48-012.jpg,12,,,,,
1,RDC,11,train,1775040206432_6639_1087_48-008.jpg,0,,,,,
1,RDC,12,train,1775040206432_6639_1087_48-008.jpg,2,,,,,
1,RDC,13,train,1775040206432_6639_1087_48-008.jpg,3,,,,,
1,RDC,14,train,1775040206432_6639_1087_48-008.jpg,4,,,,,
1,RDC,15,train,1775040206432_6639_1087_48-008.jpg,5,,,,,
1,RDC,16,train,1775040206432_6639_1087_48-008.jpg,8,,,,,
1,RDC,17,train,1775040206432_6639_1087_48-008.jpg,10,,,,,
1,RDC,18,train,1775040206432_6639_1087_48-008.jpg,12,,,,,
1,RDC,19,train,1775040206432_6639_1124_48-006.jpg,0,,,,,
1,RDC,20,train,1775040206432_6639_1124_48-006.jpg,1,,,,,
1,RDC,21,train,1775040206432_6639_1124_48-006.jpg,3,,,,,
1,RDC,22,train,1775040206432_6639_1124_48-006.jpg,4,,,,,
1,RDC,23,train,1775040206432_6639_1124_48-006.jpg,5,,,,,
