image,geometry,outcome,class,det_id,confidence,region_key,iou,ground_truth_coverage,fully_covered,failure_category
1770339044281_0244_1026_07-019.jpg,raw,TP,pallet,0,0.8447265625,1770339044281_0244_1026_07-019.jpg|OD|2,0.9536173208942088,0.9704433497536946,no,
1770339044281_0244_1026_07-019.jpg,raw,TP,pallet,1,0.84423828125,1770339044281_0244_1026_07-019.jpg|OD|7,0.9923076923076923,0.9923076923076923,no,
1770339044281_0244_1026_07-019.jpg,raw,TP,pallet,3,0.82763671875,1770339044281_0244_1026_07-019.jpg|OD|1,0.9243573535608934,0.9243573535608934,no,
1770339044281_0244_1026_07-019.jpg,raw,TP,pallet,6,0.79296875,1770339044281_0244_1026_07-019.jpg|OD|5,0.9191143963642151,0.9191143963642151,no,
1770339044281_0244_1026_07-019.jpg,raw,TP,other,17,0.2509765625,1770339044281_0244_1026_07-019.jpg|OD|9,0.8028623789161358,0.8500808500808501,no,
1770339044281_0244_1026_07-019.jpg,buffered,TP,pallet,0,0.8447265625,1770339044281_0244_1026_07-019.jpg|OD|2,0.6025364274150027,1.0,yes,
1770339044281_0244_1026_07-019.jpg,buffered,TP,pallet,1,0.84423828125,1770339044281_0244_1026_07-019.jpg|OD|7,0.6004135227303241,1.0,yes,
1770339044281_0244_1026_07-019.jpg,buffered,TP,pallet,3,0.82763671875,1770339044281_0244_1026_07-019.jpg|OD|1,0.6411997162833114,1.0,yes,
1770339044281_0244_1026_07-019.jpg,buffered,TP,pallet,6,0.79296875,1770339044281_0244_1026_07-019.jpg|OD|5,0.6465328988738352,1.0,yes,
1770339044281_0244_1026_07-019.jpg,buffered,TP,other,17,0.2509765625,1770339044281_0244_1026_07-019.jpg|OD|9,0.6404081755516089,0.9829059829059829,no,
1770339044281_0244_1026_07-019.jpg,raw,FP,pallet,2,0.82958984375,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,pallet,4,0.81396484375,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,pallet,5,0.81005859375,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,pallet,7,0.4755859375,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,printedonbox,8,0.3701171875,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,other,9,0.332275390625,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,other,10,0.299072265625,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,printedonbox,11,0.281494140625,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,other,12,0.27978515625,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,printedonbox,13,0.269287109375,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,printedonbox,15,0.25927734375,,0.0,0.0,no,false_positive
1770339044281_0244_1026_07-019.jpg,raw,FP,pallet,16,0.251708984375,,0.0,0.0,no,false_positive
1770339044281_0244_1031_07-020.jpg,raw,TP,rdc,0,0.8134765625,1770339044281_0244_1031_07-020.jpg|OD|20,0.8003857280617165,0.8003857280617165,no,
1770339044281_0244_1031_07-020.jpg,raw,TP,rdc,1,0.79833984375,1770339044281_0244_1031_07-020.jpg|OD|6,0.9665247472059606,0.9844961240310077,no,
1770339044281_0244_1031_07-020.jpg,raw,TP,rdc,2,0.7705078125,1770339044281_0244_1031_07-020.jpg|OD|19,0.7630304522695559,0.7630304522695559,no,
1770339044281_0244_1031_07-020.jpg,raw,TP,rdc,3,0.75927734375,1770339044281_0244_1031_07-020.jpg|OD|21,0.8721104773341339,0.8943965517241379,no,
1770339044281_0244_1031_07-020.jpg,raw,TP,rdc,19,0.4814453125,1770339044281_0244_1031_07-020.jpg|OD|1,0.9100215053763441,0.9100215053763441,no,
1770339044281_0244_1031_07-020.jpg,buffered,TP,rdc,0,0.8134765625,1770339044281_0244_1031_07-020.jpg|OD|20,0.7455068296189792,1.0,yes,
1770339044281_0244_1031_07-020.jpg,buffered,TP,rdc,1,0.79833984375,1770339044281_0244_1031_07-020.jpg|OD|6,0.5956601763053376,1.0,yes,
1770339044281_0244_1031_07-020.jpg,buffered,TP,rdc,2,0.7705078125,1770339044281_0244_1031_07-020.jpg|OD|19,0.7906931464174455,1.0,yes,
